# smlt_path='b4', gsimlt_path='@_SomervilleEtAl2009NonCratonic_@', imt='SA', investigation_time=50.0, lon=145.49, lat=-38.08, poe='0.0200000', iml='2.0063334e-01'
mag,lon,lat,poe
1.40900E+02,-4.17000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.17000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.15000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.13000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.11000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.09000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.07000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.05000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.03000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,5.25000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,5.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,6.25000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,6.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,7.25000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,7.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,8.25000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,8.75000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,9.25000E+00,0.00000E+00
1.40900E+02,-4.01000E+01,9.75000E+00,0.00000E+00
1.40900E+02,-3.99000E+01,4.75000E+00,0.00000E+00
1.40900E+02,-3.99000E+01,5.25000E+00,0.00000E+00
