# smlt_path='b15', gsimlt_path='@_ChiouYoungs2008SWISS01_@', imt='SA', investigation_time=50.0, lon=150.74, lat=-33.9, poe='0.0050000', iml='2.8204314e-01'
mag,lon,lat,poe
1.46500E+02,-3.75000E+01,4.75000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,5.25000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,5.75000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,6.25000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,6.75000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,7.25000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,7.75000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,8.25000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,8.75000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,9.25000E+00,0.00000E+00
1.46500E+02,-3.75000E+01,9.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,4.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,5.25000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,5.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,6.25000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,6.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,7.25000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,7.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,8.25000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,8.75000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,9.25000E+00,0.00000E+00
1.46500E+02,-3.73000E+01,9.75000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,4.75000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,5.25000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,5.75000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,6.25000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,6.75000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,7.25000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,7.75000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,8.25000E+00,0.00000E+00
1.46500E+02,-3.71000E+01,8.75000E+00,0.00000E+00
