# smlt_path='b3', gsimlt_path='@_SomervilleEtAl2009NonCratonic_@', imt='SA', investigation_time=50.0, lon=148.62, lat=-36.42, poe='0.1000000', iml='8.6048945e-02'
mag,poe
4.50000E+00,2.35639E-02
4.70000E+00,3.94657E-02
4.90000E+00,3.02264E-02
5.10000E+00,2.22069E-02
5.30000E+00,1.58126E-02
5.50000E+00,1.10087E-02
5.70000E+00,7.55748E-03
5.90000E+00,5.16779E-03
6.10000E+00,3.56300E-03
6.30000E+00,2.51273E-03
6.50000E+00,1.83156E-03
6.70000E+00,1.38091E-03
6.90000E+00,1.07668E-03
7.10000E+00,8.56390E-04
7.30000E+00,6.83471E-04
7.50000E+00,4.37794E-04
7.70000E+00,1.36525E-04
7.90000E+00,8.55047E-06
8.10000E+00,0.00000E+00
8.30000E+00,0.00000E+00
8.50000E+00,0.00000E+00
8.70000E+00,0.00000E+00
8.90000E+00,0.00000E+00
9.10000E+00,0.00000E+00
9.30000E+00,0.00000E+00
9.50000E+00,0.00000E+00
9.70000E+00,0.00000E+00
