# smlt_path='b3', gsimlt_path='@_SomervilleEtAl2009NonCratonic_@', imt='SA', investigation_time=50.0, lon=148.62, lat=-36.42, poe='0.0200000', iml='2.8269934e-01'
mag,poe
4.50000E+00,1.56860E-03
4.70000E+00,3.71962E-03
4.90000E+00,4.15133E-03
5.10000E+00,4.11948E-03
5.30000E+00,3.71267E-03
5.50000E+00,3.09696E-03
5.70000E+00,2.43231E-03
5.90000E+00,1.82361E-03
6.10000E+00,1.31872E-03
6.30000E+00,9.27577E-04
6.50000E+00,6.38711E-04
6.70000E+00,4.32313E-04
6.90000E+00,2.91326E-04
7.10000E+00,1.97775E-04
7.30000E+00,1.37477E-04
7.50000E+00,7.21419E-05
7.70000E+00,1.80482E-05
7.90000E+00,8.61446E-07
8.10000E+00,0.00000E+00
8.30000E+00,0.00000E+00
8.50000E+00,0.00000E+00
8.70000E+00,0.00000E+00
8.90000E+00,0.00000E+00
9.10000E+00,0.00000E+00
9.30000E+00,0.00000E+00
9.50000E+00,0.00000E+00
9.70000E+00,0.00000E+00
