# smlt_path=b1,gsimlt_path=b12_b22_b32_@_@_@_@,imt=SA,investigation_time=50.0,sa_period=1.0,sa_damping=5.0,lon=-132.8,lat=53.45,poe=0.02,iml=1.067193
TRT,poe
Active Shallow Fault,0.002061773
Subduction Interface,0.01584102
Active Shallow Crust,0.0007280286
