# smlt_path=b1,gsimlt_path=b12_b22_b32_@_@_@_@,imt=SA,investigation_time=50.0,sa_period=1.0,sa_damping=5.0,lon=-132.8,lat=53.45,poe=0.02,iml=1.067193
Mag,Dist,Eps,poe
4.85,10.0,-2.0,0.0
4.85,10.0,0.0,0.0
4.85,10.0,2.0,0.0
4.85,30.0,-2.0,0.0
4.85,30.0,0.0,0.0
4.85,30.0,2.0,0.0
4.85,50.0,-2.0,0.0
4.85,50.0,0.0,0.0
4.85,50.0,2.0,0.0
4.85,70.0,-2.0,0.0
4.85,70.0,0.0,0.0
4.85,70.0,2.0,0.0
4.85,90.0,-2.0,0.0
4.85,90.0,0.0,0.0
4.85,90.0,2.0,0.0
4.85,110.0,-2.0,0.0
4.85,110.0,0.0,0.0
4.85,110.0,2.0,0.0
4.85,130.0,-2.0,0.0
4.85,130.0,0.0,0.0
4.85,130.0,2.0,0.0
4.85,150.0,-2.0,0.0
4.85,150.0,0.0,0.0
4.85,150.0,2.0,0.0
4.85,170.0,-2.0,0.0
4.85,170.0,0.0,0.0
4.85,170.0,2.0,0.0
4.85,190.0,-2.0,0.0
4.85,190.0,0.0,0.0
4.85,190.0,2.0,0.0
4.95,10.0,-2.0,0.0
4.95,10.0,0.0,0.0
4.95,10.0,2.0,0.0
4.95,30.0,-2.0,0.0
4.95,30.0,0.0,0.0
4.95,30.0,2.0,0.0
4.95,50.0,-2.0,0.0
4.95,50.0,0.0,0.0
4.95,50.0,2.0,0.0
4.95,70.0,-2.0,0.0
4.95,70.0,0.0,0.0
4.95,70.0,2.0,0.0
4.95,90.0,-2.0,0.0
4.95,90.0,0.0,0.0
4.95,90.0,2.0,0.0
4.95,110.0,-2.0,0.0
4.95,110.0,0.0,0.0
4.95,110.0,2.0,0.0
4.95,130.0,-2.0,0.0
4.95,130.0,0.0,0.0
4.95,130.0,2.0,0.0
4.95,150.0,-2.0,0.0
4.95,150.0,0.0,0.0
4.95,150.0,2.0,0.0
4.95,170.0,-2.0,0.0
4.95,170.0,0.0,0.0
4.95,170.0,2.0,0.0
4.95,190.0,-2.0,0.0
4.95,190.0,0.0,0.0
4.95,190.0,2.0,0.0
5.05,10.0,-2.0,0.0
5.05,10.0,0.0,0.0
5.05,10.0,2.0,0.0
5.05,30.0,-2.0,0.0
5.05,30.0,0.0,0.0
5.05,30.0,2.0,0.0
5.05,50.0,-2.0,0.0
5.05,50.0,0.0,0.0
5.05,50.0,2.0,0.0
5.05,70.0,-2.0,0.0
5.05,70.0,0.0,0.0
5.05,70.0,2.0,0.0
5.05,90.0,-2.0,0.0
5.05,90.0,0.0,0.0
5.05,90.0,2.0,0.0
5.05,110.0,-2.0,0.0
5.05,110.0,0.0,0.0
5.05,110.0,2.0,0.0
5.05,130.0,-2.0,0.0
5.05,130.0,0.0,0.0
5.05,130.0,2.0,0.0
5.05,150.0,-2.0,0.0
5.05,150.0,0.0,0.0
5.05,150.0,2.0,0.0
5.05,170.0,-2.0,0.0
5.05,170.0,0.0,0.0
5.05,170.0,2.0,0.0
5.05,190.0,-2.0,0.0
5.05,190.0,0.0,0.0
5.05,190.0,2.0,0.0
5.15,10.0,-2.0,0.0
5.15,10.0,0.0,0.0
5.15,10.0,2.0,0.0
5.15,30.0,-2.0,0.0
5.15,30.0,0.0,0.0
5.15,30.0,2.0,0.0
5.15,50.0,-2.0,0.0
5.15,50.0,0.0,0.0
5.15,50.0,2.0,0.0
5.15,70.0,-2.0,0.0
5.15,70.0,0.0,0.0
5.15,70.0,2.0,0.0
5.15,90.0,-2.0,0.0
5.15,90.0,0.0,0.0
5.15,90.0,2.0,0.0
5.15,110.0,-2.0,0.0
5.15,110.0,0.0,0.0
5.15,110.0,2.0,0.0
5.15,130.0,-2.0,0.0
5.15,130.0,0.0,0.0
5.15,130.0,2.0,0.0
5.15,150.0,-2.0,0.0
5.15,150.0,0.0,0.0
5.15,150.0,2.0,0.0
5.15,170.0,-2.0,0.0
5.15,170.0,0.0,0.0
5.15,170.0,2.0,0.0
5.15,190.0,-2.0,0.0
5.15,190.0,0.0,0.0
5.15,190.0,2.0,0.0
5.25,10.0,-2.0,0.0
5.25,10.0,0.0,0.0
5.25,10.0,2.0,0.0
5.25,30.0,-2.0,0.0
5.25,30.0,0.0,0.0
5.25,30.0,2.0,0.0
5.25,50.0,-2.0,0.0
5.25,50.0,0.0,0.0
5.25,50.0,2.0,0.0
5.25,70.0,-2.0,0.0
5.25,70.0,0.0,0.0
5.25,70.0,2.0,0.0
5.25,90.0,-2.0,0.0
5.25,90.0,0.0,0.0
5.25,90.0,2.0,0.0
5.25,110.0,-2.0,0.0
5.25,110.0,0.0,0.0
5.25,110.0,2.0,0.0
5.25,130.0,-2.0,0.0
5.25,130.0,0.0,0.0
5.25,130.0,2.0,0.0
5.25,150.0,-2.0,0.0
5.25,150.0,0.0,0.0
5.25,150.0,2.0,0.0
5.25,170.0,-2.0,0.0
5.25,170.0,0.0,0.0
5.25,170.0,2.0,0.0
5.25,190.0,-2.0,0.0
5.25,190.0,0.0,0.0
5.25,190.0,2.0,0.0
5.35,10.0,-2.0,0.0
5.35,10.0,0.0,0.0
5.35,10.0,2.0,0.0
5.35,30.0,-2.0,0.0
5.35,30.0,0.0,0.0
5.35,30.0,2.0,0.0
5.35,50.0,-2.0,0.0
5.35,50.0,0.0,0.0
5.35,50.0,2.0,0.0
5.35,70.0,-2.0,0.0
5.35,70.0,0.0,0.0
5.35,70.0,2.0,0.0
5.35,90.0,-2.0,0.0
5.35,90.0,0.0,0.0
5.35,90.0,2.0,0.0
5.35,110.0,-2.0,0.0
5.35,110.0,0.0,0.0
5.35,110.0,2.0,0.0
5.35,130.0,-2.0,0.0
5.35,130.0,0.0,0.0
5.35,130.0,2.0,0.0
5.35,150.0,-2.0,0.0
5.35,150.0,0.0,0.0
5.35,150.0,2.0,0.0
5.35,170.0,-2.0,0.0
5.35,170.0,0.0,0.0
5.35,170.0,2.0,0.0
5.35,190.0,-2.0,0.0
5.35,190.0,0.0,0.0
5.35,190.0,2.0,0.0
5.45,10.0,-2.0,0.0
5.45,10.0,0.0,0.0
5.45,10.0,2.0,0.0
5.45,30.0,-2.0,0.0
5.45,30.0,0.0,0.0
5.45,30.0,2.0,0.0
5.45,50.0,-2.0,0.0
5.45,50.0,0.0,0.0
5.45,50.0,2.0,0.0
5.45,70.0,-2.0,0.0
5.45,70.0,0.0,0.0
5.45,70.0,2.0,0.0
5.45,90.0,-2.0,0.0
5.45,90.0,0.0,0.0
5.45,90.0,2.0,0.0
5.45,110.0,-2.0,0.0
5.45,110.0,0.0,0.0
5.45,110.0,2.0,0.0
5.45,130.0,-2.0,0.0
5.45,130.0,0.0,0.0
5.45,130.0,2.0,0.0
5.45,150.0,-2.0,0.0
5.45,150.0,0.0,0.0
5.45,150.0,2.0,0.0
5.45,170.0,-2.0,0.0
5.45,170.0,0.0,0.0
5.45,170.0,2.0,0.0
5.45,190.0,-2.0,0.0
5.45,190.0,0.0,0.0
5.45,190.0,2.0,0.0
5.55,10.0,-2.0,0.0
5.55,10.0,0.0,0.0
5.55,10.0,2.0,0.0
5.55,30.0,-2.0,0.0
5.55,30.0,0.0,0.0
5.55,30.0,2.0,0.0
5.55,50.0,-2.0,0.0
5.55,50.0,0.0,0.0
5.55,50.0,2.0,0.0
5.55,70.0,-2.0,0.0
5.55,70.0,0.0,0.0
5.55,70.0,2.0,0.0
5.55,90.0,-2.0,0.0
5.55,90.0,0.0,0.0
5.55,90.0,2.0,0.0
5.55,110.0,-2.0,0.0
5.55,110.0,0.0,0.0
5.55,110.0,2.0,0.0
5.55,130.0,-2.0,0.0
5.55,130.0,0.0,0.0
5.55,130.0,2.0,0.0
5.55,150.0,-2.0,0.0
5.55,150.0,0.0,0.0
5.55,150.0,2.0,0.0
5.55,170.0,-2.0,0.0
5.55,170.0,0.0,0.0
5.55,170.0,2.0,0.0
5.55,190.0,-2.0,0.0
5.55,190.0,0.0,0.0
5.55,190.0,2.0,0.0
5.65,10.0,-2.0,0.0
5.65,10.0,0.0,0.0
5.65,10.0,2.0,9.496868e-07
5.65,30.0,-2.0,0.0
5.65,30.0,0.0,0.0
5.65,30.0,2.0,0.0
5.65,50.0,-2.0,0.0
5.65,50.0,0.0,0.0
5.65,50.0,2.0,0.0
5.65,70.0,-2.0,0.0
5.65,70.0,0.0,0.0
5.65,70.0,2.0,0.0
5.65,90.0,-2.0,0.0
5.65,90.0,0.0,0.0
5.65,90.0,2.0,0.0
5.65,110.0,-2.0,0.0
5.65,110.0,0.0,0.0
5.65,110.0,2.0,0.0
5.65,130.0,-2.0,0.0
5.65,130.0,0.0,0.0
5.65,130.0,2.0,0.0
5.65,150.0,-2.0,0.0
5.65,150.0,0.0,0.0
5.65,150.0,2.0,0.0
5.65,170.0,-2.0,0.0
5.65,170.0,0.0,0.0
5.65,170.0,2.0,0.0
5.65,190.0,-2.0,0.0
5.65,190.0,0.0,0.0
5.65,190.0,2.0,0.0
5.75,10.0,-2.0,0.0
5.75,10.0,0.0,0.0
5.75,10.0,2.0,2.435512e-06
5.75,30.0,-2.0,0.0
5.75,30.0,0.0,0.0
5.75,30.0,2.0,0.0
5.75,50.0,-2.0,0.0
5.75,50.0,0.0,0.0
5.75,50.0,2.0,0.0
5.75,70.0,-2.0,0.0
5.75,70.0,0.0,0.0
5.75,70.0,2.0,0.0
5.75,90.0,-2.0,0.0
5.75,90.0,0.0,0.0
5.75,90.0,2.0,0.0
5.75,110.0,-2.0,0.0
5.75,110.0,0.0,0.0
5.75,110.0,2.0,0.0
5.75,130.0,-2.0,0.0
5.75,130.0,0.0,0.0
5.75,130.0,2.0,0.0
5.75,150.0,-2.0,0.0
5.75,150.0,0.0,0.0
5.75,150.0,2.0,0.0
5.75,170.0,-2.0,0.0
5.75,170.0,0.0,0.0
5.75,170.0,2.0,0.0
5.75,190.0,-2.0,0.0
5.75,190.0,0.0,0.0
5.75,190.0,2.0,0.0
5.85,10.0,-2.0,0.0
5.85,10.0,0.0,0.0
5.85,10.0,2.0,5.847986e-06
5.85,30.0,-2.0,0.0
5.85,30.0,0.0,0.0
5.85,30.0,2.0,0.0
5.85,50.0,-2.0,0.0
5.85,50.0,0.0,0.0
5.85,50.0,2.0,0.0
5.85,70.0,-2.0,0.0
5.85,70.0,0.0,0.0
5.85,70.0,2.0,0.0
5.85,90.0,-2.0,0.0
5.85,90.0,0.0,0.0
5.85,90.0,2.0,0.0
5.85,110.0,-2.0,0.0
5.85,110.0,0.0,0.0
5.85,110.0,2.0,0.0
5.85,130.0,-2.0,0.0
5.85,130.0,0.0,0.0
5.85,130.0,2.0,0.0
5.85,150.0,-2.0,0.0
5.85,150.0,0.0,0.0
5.85,150.0,2.0,0.0
5.85,170.0,-2.0,0.0
5.85,170.0,0.0,0.0
5.85,170.0,2.0,0.0
5.85,190.0,-2.0,0.0
5.85,190.0,0.0,0.0
5.85,190.0,2.0,0.0
5.95,10.0,-2.0,0.0
5.95,10.0,0.0,0.0
5.95,10.0,2.0,1.055487e-05
5.95,30.0,-2.0,0.0
5.95,30.0,0.0,0.0
5.95,30.0,2.0,0.0
5.95,50.0,-2.0,0.0
5.95,50.0,0.0,0.0
5.95,50.0,2.0,0.0
5.95,70.0,-2.0,0.0
5.95,70.0,0.0,0.0
5.95,70.0,2.0,0.0
5.95,90.0,-2.0,0.0
5.95,90.0,0.0,0.0
5.95,90.0,2.0,0.0
5.95,110.0,-2.0,0.0
5.95,110.0,0.0,0.0
5.95,110.0,2.0,0.0
5.95,130.0,-2.0,0.0
5.95,130.0,0.0,0.0
5.95,130.0,2.0,0.0
5.95,150.0,-2.0,0.0
5.95,150.0,0.0,0.0
5.95,150.0,2.0,0.0
5.95,170.0,-2.0,0.0
5.95,170.0,0.0,0.0
5.95,170.0,2.0,0.0
5.95,190.0,-2.0,0.0
5.95,190.0,0.0,0.0
5.95,190.0,2.0,0.0
6.05,10.0,-2.0,0.0
6.05,10.0,0.0,0.0
6.05,10.0,2.0,1.688252e-05
6.05,30.0,-2.0,0.0
6.05,30.0,0.0,0.0
6.05,30.0,2.0,0.0
6.05,50.0,-2.0,0.0
6.05,50.0,0.0,0.0
6.05,50.0,2.0,0.0
6.05,70.0,-2.0,0.0
6.05,70.0,0.0,0.0
6.05,70.0,2.0,0.0
6.05,90.0,-2.0,0.0
6.05,90.0,0.0,0.0
6.05,90.0,2.0,0.0
6.05,110.0,-2.0,0.0
6.05,110.0,0.0,0.0
6.05,110.0,2.0,0.0
6.05,130.0,-2.0,0.0
6.05,130.0,0.0,0.0
