# smlt_path=b1,gsimlt_path=b12_b22_b32_@_@_@_@,imt=SA,investigation_time=50.0,sa_period=1.0,sa_damping=5.0,lon=-132.8,lat=53.45,poe=0.02,iml=1.067193
Lon,Lat,poe
-132.7,54.1,0.0
-132.7,54.3,0.0
-132.7,54.5,0.0
-132.7,54.7,0.0
-132.7,54.9,0.0
-132.7,55.1,0.0
-132.7,55.3,0.0
-132.5,51.7,0.0
-132.5,51.9,0.0
-132.5,52.1,0.0
-132.5,52.3,0.0
-132.5,52.5,0.0
-132.5,52.7,0.0
-132.5,52.9,0.0
-132.5,53.1,1.366167e-05
-132.5,53.3,3.008618e-06
-132.5,53.5,1.413093e-05
-132.5,53.7,1.757465e-06
-132.5,53.9,5.61331e-10
-132.5,54.1,0.0
-132.5,54.3,0.0
-132.5,54.5,0.0
-132.5,54.7,0.0
-132.5,54.9,0.0
-132.5,55.1,0.0
-132.5,55.3,0.0
-132.3,51.7,0.0
-132.3,51.9,0.0
-132.3,52.1,0.0
-132.3,52.3,0.0
-132.3,52.5,0.0
-132.3,52.7,0.0
-132.3,52.9,0.0
-132.3,53.1,1.061775e-09
-132.3,53.3,3.528385e-08
-132.3,53.5,1.045761e-07
-132.3,53.7,1.83186e-08
-132.3,53.9,0.0
-132.3,54.1,0.0
-132.3,54.3,0.0
-132.3,54.5,0.0
-132.3,54.7,0.0
-132.3,54.9,0.0
-132.3,55.1,0.0
-132.3,55.3,0.0
-132.1,51.7,0.0
-132.1,51.9,0.0
-132.1,52.1,0.0
-132.1,52.3,0.0
-132.1,52.5,0.0
-132.1,52.7,0.0
-132.1,52.9,0.0
-132.1,53.1,0.0
-132.1,53.3,2.081834e-09
-132.1,53.5,5.64663e-09
-132.1,53.7,9.548116e-10
-132.1,53.9,0.0
-132.1,54.1,0.0
-132.1,54.3,0.0
-132.1,54.5,0.0
-132.1,54.7,0.0
-132.1,54.9,0.0
-132.1,55.1,0.0
-132.1,55.3,0.0
-131.9,51.7,0.0
-131.9,51.9,0.0
-131.9,52.1,0.0
-131.9,52.3,0.0
-131.9,52.5,0.0
-131.9,52.7,0.0
-131.9,52.9,0.0
-131.9,53.1,0.0
-131.9,53.3,0.0
-131.9,53.5,0.0
-131.9,53.7,0.0
-131.9,53.9,0.0
-131.9,54.1,0.0
-131.9,54.3,0.0
-131.9,54.5,0.0
-131.9,54.7,0.0
-131.9,54.9,0.0
-131.9,55.1,0.0
-131.9,55.3,0.0
-131.7,51.7,0.0
-131.7,51.9,0.0
-131.7,52.1,0.0
-131.7,52.3,0.0
-131.7,52.5,0.0
-131.7,52.7,0.0
-131.7,52.9,0.0
-131.7,53.1,0.0
-131.7,53.3,0.0
-131.7,53.5,0.0
-131.7,53.7,0.0
-131.7,53.9,0.0
-131.7,54.1,0.0
-131.7,54.3,0.0
-131.7,54.5,0.0
-131.7,54.7,0.0
-131.7,54.9,0.0
-131.7,55.1,0.0
-131.7,55.3,0.0
-131.5,51.7,0.0
-131.5,51.9,0.0
-131.5,52.1,0.0
-131.5,52.3,0.0
-131.5,52.5,0.0
-131.5,52.7,0.0
-131.5,52.9,0.0
-131.5,53.1,0.0
-131.5,53.3,0.0
-131.5,53.5,0.0
-131.5,53.7,0.0
-131.5,53.9,0.0
-131.5,54.1,0.0
-131.5,54.3,0.0
-131.5,54.5,0.0
-131.5,54.7,0.0
-131.5,54.9,0.0
-131.5,55.1,0.0
-131.5,55.3,0.0
-131.3,51.7,0.0
-131.3,51.9,0.0
-131.3,52.1,0.0
-131.3,52.3,0.0
-131.3,52.5,0.0
-131.3,52.7,0.0
-131.3,52.9,0.0
-131.3,53.1,0.0
-131.3,53.3,0.0
-131.3,53.5,0.0
-131.3,53.7,0.0
-131.3,53.9,0.0
-131.3,54.1,0.0
-131.3,54.3,0.0
-131.3,54.5,0.0
-131.3,54.7,0.0
-131.3,54.9,0.0
-131.3,55.1,0.0
-131.3,55.3,0.0
-131.1,51.7,0.0
-131.1,51.9,0.0
-131.1,52.1,0.0
-131.1,52.3,0.0
-131.1,52.5,0.0
-131.1,52.7,0.0
-131.1,52.9,0.0
-131.1,53.1,0.0
-131.1,53.3,0.0
-131.1,53.5,0.0
-131.1,53.7,0.0
-131.1,53.9,0.0
-131.1,54.1,0.0
-131.1,54.3,0.0
-131.1,54.5,0.0
-131.1,54.7,0.0
-131.1,54.9,0.0
-131.1,55.1,0.0
-131.1,55.3,0.0
-130.9,51.7,0.0
-130.9,51.9,0.0
-130.9,52.1,0.0
-130.9,52.3,0.0
-130.9,52.5,0.0
-130.9,52.7,0.0
-130.9,52.9,0.0
-130.9,53.1,0.0
-130.9,53.3,0.0
-130.9,53.5,0.0
-130.9,53.7,0.0
-130.9,53.9,0.0
-130.9,54.1,0.0
-130.9,54.3,0.0
-130.9,54.5,0.0
-130.9,54.7,0.0
-130.9,54.9,0.0
-130.9,55.1,0.0
-130.9,55.3,0.0
-130.7,51.7,0.0
-130.7,51.9,0.0
-130.7,52.1,0.0
-130.7,52.3,0.0
-130.7,52.5,0.0
-130.7,52.7,0.0
-130.7,52.9,0.0
-130.7,53.1,0.0
-130.7,53.3,0.0
-130.7,53.5,0.0
-130.7,53.7,0.0
-130.7,53.9,0.0
-130.7,54.1,0.0
-130.7,54.3,0.0
-130.7,54.5,0.0
-130.7,54.7,0.0
-130.7,54.9,0.0
-130.7,55.1,0.0
-130.7,55.3,0.0
-130.5,51.7,0.0
-130.5,51.9,0.0
-130.5,52.1,0.0
-130.5,52.3,0.0
-130.5,52.5,0.0
-130.5,52.7,0.0
-130.5,52.9,0.0
-130.5,53.1,0.0
-130.5,53.3,0.0
-130.5,53.5,0.0
-130.5,53.7,0.0
-130.5,53.9,0.0
-130.5,54.1,0.0
-130.5,54.3,0.0
-130.5,54.5,0.0
-130.5,54.7,0.0
-130.5,54.9,0.0
-130.5,55.1,0.0
-130.5,55.3,0.0
-130.3,51.7,0.0
-130.3,51.9,0.0
-130.3,52.1,0.0
-130.3,52.3,0.0
-130.3,52.5,0.0
-130.3,52.7,0.0
-130.3,52.9,0.0
-130.3,53.1,0.0
-130.3,53.3,0.0
-130.3,53.5,0.0
-130.3,53.7,0.0
-130.3,53.9,0.0
-130.3,54.1,0.0
-130.3,54.3,0.0
-130.3,54.5,0.0
-130.3,54.7,0.0
-130.3,54.9,0.0
-130.3,55.1,0.0
-130.3,55.3,0.0
-130.1,51.7,0.0
-130.1,51.9,0.0
-130.1,52.1,0.0
-130.1,52.3,0.0
-130.1,52.5,0.0
-130.1,52.7,0.0
-130.1,52.9,0.0
-130.1,53.1,0.0
-130.1,53.3,0.0
-130.1,53.5,0.0
-130.1,53.7,0.0
-130.1,53.9,0.0
-130.1,54.1,0.0
-130.1,54.3,0.0
-130.1,54.5,0.0
-130.1,54.7,0.0
-130.1,54.9,0.0
-130.1,55.1,0.0
-130.1,55.3,0.0
-129.9,51.7,0.0
-129.9,51.9,0.0
-129.9,52.1,0.0
-129.9,52.3,0.0
-129.9,52.5,0.0
-129.9,52.7,0.0
-129.9,52.9,0.0
-129.9,53.1,0.0
-129.9,53.3,0.0
-129.9,53.5,0.0
-129.9,53.7,0.0
-129.9,53.9,0.0
-129.9,54.1,0.0
-129.9,54.3,0.0
-129.9,54.5,0.0
-129.9,54.7,0.0
-129.9,54.9,0.0
-129.9,55.1,0.0
-129.9,55.3,0.0
