freq,c0,c1,c2,c3,c4,c5,cNCCZ,cEBGZ,cCBGZ
2.2909e-01,-1.3000e+00,-1.7283e-03,-6.6995e-01,-5.4849e-06,1.1251e+00,-7.3901e+00,1.5292e-03,2.2028e-03,-1.3186e-03
2.3988e-01,-1.3000e+00,-1.7283e-03,-6.8731e-01,-5.7140e-06,1.1153e+00,-7.3514e+00,2.5708e-03,-1.1699e-04,2.9832e-03
2.5119e-01,-1.3000e+00,-1.7283e-03,-7.0695e-01,-5.2810e-06,1.1063e+00,-7.3171e+00,2.4878e-03,-3.1152e-03,9.2803e-03
2.6303e-01,-1.3000e+00,-1.7283e-03,-7.2493e-01,-6.1964e-06,1.0986e+00,-7.2903e+00,-3.7343e-04,-4.9456e-03,1.6004e-02
2.7542e-01,-1.3000e+00,-1.7283e-03,-7.4308e-01,-7.8499e-06,1.0922e+00,-7.2713e+00,-2.8335e-03,-8.7675e-03,2.3030e-02
2.8840e-01,-1.3000e+00,-1.7283e-03,-7.6167e-01,-8.9984e-06,1.0869e+00,-7.2577e+00,-4.7420e-03,-1.5324e-02,3.0390e-02
3.0200e-01,-1.3000e+00,-1.7283e-03,-7.8150e-01,-9.6795e-06,1.0817e+00,-7.2457e+00,-5.6218e-03,-2.1916e-02,3.8033e-02
3.1623e-01,-1.3000e+00,-1.7283e-03,-8.0476e-01,-7.7802e-06,1.0770e+00,-7.2369e+00,-6.7885e-03,-2.9258e-02,4.5942e-02
3.3113e-01,-1.3000e+00,-1.7283e-03,-8.2806e-01,-6.0323e-06,1.0735e+00,-7.2346e+00,-7.2216e-03,-3.7519e-02,5.3833e-02
3.4674e-01,-1.3000e+00,-1.7283e-03,-8.4951e-01,-6.2169e-06,1.0706e+00,-7.2353e+00,-8.0174e-03,-4.5630e-02,6.1803e-02
3.6308e-01,-1.3000e+00,-1.7283e-03,-8.7055e-01,-6.5103e-06,1.0674e+00,-7.2348e+00,-8.1518e-03,-5.2175e-02,6.8617e-02
3.8019e-01,-1.3000e+00,-1.7283e-03,-8.9125e-01,-6.7425e-06,1.0647e+00,-7.2360e+00,-8.2807e-03,-5.7548e-02,7.4850e-02
3.9811e-01,-1.3000e+00,-1.7283e-03,-9.1207e-01,-6.7634e-06,1.0627e+00,-7.2412e+00,-7.6258e-03,-6.1816e-02,8.0101e-02
4.1687e-01,-1.3000e+00,-1.7283e-03,-9.3104e-01,-7.5829e-06,1.0633e+00,-7.2608e+00,-5.9112e-03,-6.3096e-02,8.4719e-02
4.3652e-01,-1.3000e+00,-1.7283e-03,-9.5303e-01,-7.6430e-06,1.0642e+00,-7.2828e+00,-3.4408e-03,-6.1777e-02,8.8326e-02
4.5709e-01,-1.3000e+00,-1.7283e-03,-9.6780e-01,-1.3365e-05,1.0652e+00,-7.3046e+00,1.1164e-04,-5.7192e-02,9.1026e-02
4.7863e-01,-1.3000e+00,-1.7283e-03,-9.8089e-01,-2.2672e-05,1.0686e+00,-7.3410e+00,4.8109e-03,-4.9368e-02,9.2158e-02
5.0119e-01,-1.3000e+00,-1.7283e-03,-9.9745e-01,-2.8533e-05,1.0734e+00,-7.3857e+00,9.9932e-03,-4.0638e-02,9.7126e-02
5.2481e-01,-1.3000e+00,-1.7283e-03,-1.0145e+00,-3.4233e-05,1.0794e+00,-7.4369e+00,1.5815e-02,-3.0885e-02,1.0185e-01
5.4954e-01,-1.3000e+00,-1.7283e-03,-1.0289e+00,-4.1836e-05,1.0870e+00,-7.4969e+00,2.1212e-02,-2.0237e-02,1.0699e-01
5.7544e-01,-1.3000e+00,-1.7283e-03,-1.0388e+00,-5.1915e-05,1.0956e+00,-7.5624e+00,2.5924e-02,-1.0239e-02,1.1242e-01
6.0256e-01,-1.3000e+00,-1.7283e-03,-1.0493e+00,-6.2075e-05,1.1025e+00,-7.6179e+00,2.8642e-02,-1.2145e-04,1.1854e-01
6.3096e-01,-1.3000e+00,-1.7283e-03,-1.0598e+00,-7.3025e-05,1.1106e+00,-7.6806e+00,2.9290e-02,1.0689e-02,1.2552e-01
6.6069e-01,-1.3000e+00,-1.7283e-03,-1.0669e+00,-8.8201e-05,1.1156e+00,-7.7264e+00,2.8172e-02,2.1034e-02,1.3195e-01
6.9183e-01,-1.3000e+00,-1.7283e-03,-1.0742e+00,-1.0393e-04,1.1192e+00,-7.7647e+00,2.8253e-02,2.7586e-02,1.3822e-01
7.2444e-01,-1.3000e+00,-1.7283e-03,-1.0810e+00,-1.2038e-04,1.1174e+00,-7.7728e+00,2.7337e-02,3.3110e-02,1.4354e-01
7.5858e-01,-1.3000e+00,-1.7283e-03,-1.0919e+00,-1.3423e-04,1.1142e+00,-7.7743e+00,2.6069e-02,3.8178e-02,1.4905e-01
7.9433e-01,-1.3000e+00,-1.7283e-03,-1.0974e+00,-1.5146e-04,1.1120e+00,-7.7813e+00,2.3955e-02,4.1548e-02,1.5394e-01
8.3176e-01,-1.3000e+00,-1.7283e-03,-1.1054e+00,-1.6677e-04,1.1103e+00,-7.7926e+00,2.1879e-02,4.4221e-02,1.5860e-01
8.7096e-01,-1.3000e+00,-1.7283e-03,-1.1142e+00,-1.8195e-04,1.1083e+00,-7.8032e+00,1.8961e-02,4.7780e-02,1.6324e-01
9.1201e-01,-1.3000e+00,-1.7283e-03,-1.1247e+00,-1.9688e-04,1.1080e+00,-7.8243e+00,1.7645e-02,5.1551e-02,1.6750e-01
9.5499e-01,-1.3000e+00,-1.7283e-03,-1.1330e+00,-2.1271e-04,1.1067e+00,-7.8401e+00,1.6836e-02,5.5280e-02,1.7242e-01
1.0000e+00,-1.3000e+00,-1.7283e-03,-1.1399e+00,-2.2985e-04,1.1011e+00,-7.8334e+00,1.6762e-02,5.9165e-02,1.7816e-01
1.0471e+00,-1.3000e+00,-1.7283e-03,-1.1487e+00,-2.4546e-04,1.0946e+00,-7.8223e+00,1.7683e-02,6.4819e-02,1.8461e-01
1.0965e+00,-1.3000e+00,-1.7283e-03,-1.1594e+00,-2.6193e-04,1.0887e+00,-7.8162e+00,1.8035e-02,7.1684e-02,1.9093e-01
1.1482e+00,-1.3000e+00,-1.7283e-03,-1.1662e+00,-2.8113e-04,1.0822e+00,-7.8059e+00,1.8561e-02,8.0480e-02,1.9821e-01
1.2023e+00,-1.3000e+00,-1.7283e-03,-1.1741e+00,-2.9886e-04,1.0748e+00,-7.7922e+00,2.0063e-02,9.1951e-02,2.0551e-01
1.2589e+00,-1.3000e+00,-1.7283e-03,-1.1780e+00,-3.2020e-04,1.0666e+00,-7.7756e+00,2.1640e-02,1.0334e-01,2.1369e-01
1.3183e+00,-1.3000e+00,-1.7283e-03,-1.1839e+00,-3.4036e-04,1.0579e+00,-7.7568e+00,2.2674e-02,1.1524e-01,2.2317e-01
1.3804e+00,-1.3000e+00,-1.7283e-03,-1.1928e+00,-3.5912e-04,1.0484e+00,-7.7347e+00,2.1172e-02,1.2563e-01,2.3343e-01
1.4454e+00,-1.3000e+00,-1.7283e-03,-1.2047e+00,-3.7556e-04,1.0380e+00,-7.7084e+00,1.7924e-02,1.3727e-01,2.4427e-01
1.5136e+00,-1.3000e+00,-1.7283e-03,-1.2152e+00,-3.9350e-04,1.0270e+00,-7.6799e+00,1.4367e-02,1.4854e-01,2.5566e-01
1.5849e+00,-1.3000e+00,-1.7283e-03,-1.2242e+00,-4.1310e-04,1.0161e+00,-7.6531e+00,1.1553e-02,1.5830e-01,2.6762e-01
1.6596e+00,-1.3000e+00,-1.7283e-03,-1.2358e+00,-4.3021e-04,1.0052e+00,-7.6259e+00,6.6213e-03,1.6625e-01,2.7889e-01
1.7378e+00,-1.3000e+00,-1.7283e-03,-1.2514e+00,-4.4346e-04,9.9320e-01,-7.5951e+00,4.5375e-04,1.7463e-01,2.9016e-01
1.8197e+00,-1.3000e+00,-1.7283e-03,-1.2643e+00,-4.5941e-04,9.8081e-01,-7.5621e+00,-6.3499e-03,1.8243e-01,3.0062e-01
1.9055e+00,-1.3000e+00,-1.7283e-03,-1.2769e+00,-4.7530e-04,9.6749e-01,-7.5253e+00,-1.1746e-02,1.8809e-01,3.1178e-01
1.9953e+00,-1.3000e+00,-1.7302e-03,-1.2888e+00,-4.9195e-04,9.5474e-01,-7.4920e+00,-1.4904e-02,1.9346e-01,3.2241e-01
2.0893e+00,-1.3000e+00,-1.7259e-03,-1.3001e+00,-5.1013e-04,9.4213e-01,-7.4599e+00,-2.0498e-02,1.9737e-01,3.3272e-01
2.1878e+00,-1.3000e+00,-1.7228e-03,-1.3067e+00,-5.3130e-04,9.2903e-01,-7.4259e+00,-2.5460e-02,1.9969e-01,3.4163e-01
2.2909e+00,-1.3000e+00,-1.7250e-03,-1.3143e+00,-5.5163e-04,9.1508e-01,-7.3881e+00,-2.9990e-02,2.0067e-01,3.4950e-01
2.3988e+00,-1.3000e+00,-1.7269e-03,-1.3234e+00,-5.7083e-04,9.0233e-01,-7.3570e+00,-3.6437e-02,2.0154e-01,3.5593e-01
2.5119e+00,-1.3000e+00,-1.7274e-03,-1.3343e+00,-5.8673e-04,8.9057e-01,-7.3314e+00,-4.4181e-02,2.0158e-01,3.6213e-01
2.6303e+00,-1.3000e+00,-1.7303e-03,-1.3460e+00,-6.0203e-04,8.7787e-01,-7.3017e+00,-5.1354e-02,2.0029e-01,3.6677e-01
2.7542e+00,-1.3000e+00,-1.7372e-03,-1.3599e+00,-6.1564e-04,8.6455e-01,-7.2690e+00,-5.8790e-02,2.0347e-01,3.7119e-01
2.8840e+00,-1.3000e+00,-1.7315e-03,-1.3644e+00,-6.3634e-04,8.5273e-01,-7.2443e+00,-6.7689e-02,2.0703e-01,3.7581e-01
3.0200e+00,-1.3000e+00,-1.7420e-03,-1.3770e+00,-6.5060e-04,8.4156e-01,-7.2233e+00,-7.5843e-02,2.1041e-01,3.8043e-01
3.1623e+00,-1.3000e+00,-1.7476e-03,-1.3902e+00,-6.6304e-04,8.3110e-01,-7.2059e+00,-8.5554e-02,2.1269e-01,3.8491e-01
3.3113e+00,-1.3000e+00,-1.7459e-03,-1.4099e+00,-6.6984e-04,8.2047e-01,-7.1900e+00,-9.6990e-02,2.1569e-01,3.8943e-01
3.4674e+00,-1.3000e+00,-1.7432e-03,-1.4238e+00,-6.8151e-04,8.1045e-01,-7.1774e+00,-1.0841e-01,2.1921e-01,3.9308e-01
3.6308e+00,-1.3000e+00,-1.7357e-03,-1.4414e+00,-6.8881e-04,8.0000e-01,-7.1635e+00,-1.2138e-01,2.2320e-01,3.9631e-01
3.8019e+00,-1.3000e+00,-1.7311e-03,-1.4657e+00,-6.9109e-04,7.9052e-01,-7.1544e+00,-1.3521e-01,2.2773e-01,3.9895e-01
