# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(55H 032 597 10000)",3.4,82,233,-36.3542,145.0496,0,"UTM:(55H 032 597 10000)",""
"UTM:(55H 033 576 10000)",3.1,2,95,-38.2478,145.1144,0,"UTM:(55H 033 576 10000)",""
"UTM:(55H 033 577 10000)",3.2,8,95,-38.1578,145.1167,0,"UTM:(55H 033 577 10000)",""
"UTM:(55H 033 578 10000)",4.1,2,96,-38.0677,145.1190,0,"UTM:(55H 033 578 10000)",""
"UTM:(55H 033 579 10000)",3.2,9,99,-37.9776,145.1213,0,"UTM:(55H 033 579 10000)",""
"UTM:(55H 033 580 10000)",3.2,30,102,-37.8876,145.1236,0,"UTM:(55H 033 580 10000)",""
"UTM:(55H 033 581 10000)",3.3,19,106,-37.7974,145.1259,0,"UTM:(55H 033 581 10000)",""
"UTM:(55H 033 582 10000)",3.4,4,111,-37.7074,145.1282,0,"UTM:(55H 033 582 10000)",""
"UTM:(55H 033 583 10000)",2.9,4,116,-37.6173,145.1304,0,"UTM:(55H 033 583 10000)",""
"UTM:(55H 034 575 10000)",3.7,143,85,-38.3397,145.2264,0,"UTM:(55H 034 575 10000)",""
"UTM:(55H 034 576 10000)",3.1,2,85,-38.2497,145.2286,0,"UTM:(55H 034 576 10000)",""
"UTM:(55H 034 577 10000)",3.2,3,85,-38.1595,145.2308,0,"UTM:(55H 034 577 10000)",""
"UTM:(55H 034 578 10000)",3.8,670,86,-38.0695,145.2330,0,"UTM:(55H 034 578 10000)",""
"UTM:(55H 034 579 10000)",3.9,8,89,-37.9794,145.2351,0,"UTM:(55H 034 579 10000)",""
"UTM:(55H 034 580 10000)",3.4,13,93,-37.8893,145.2373,0,"UTM:(55H 034 580 10000)",""
"UTM:(55H 034 581 10000)",3.2,22,97,-37.7992,145.2394,0,"UTM:(55H 034 581 10000)",""
"UTM:(55H 035 576 10000)",3.8,1,75,-38.2514,145.3428,0,"UTM:(55H 035 576 10000)",""
"UTM:(55H 035 578 10000)",3.8,7,77,-38.0712,145.3469,0,"UTM:(55H 035 578 10000)",""
"UTM:(55H 035 579 10000)",3.3,6,80,-37.9810,145.3489,0,"UTM:(55H 035 579 10000)",""
"UTM:(55H 035 580 10000)",3.4,7,84,-37.8910,145.3510,0,"UTM:(55H 035 580 10000)",""
"UTM:(55H 035 581 10000)",3.6,9,89,-37.8008,145.3529,0,"UTM:(55H 035 581 10000)",""
"UTM:(55H 035 582 10000)",3.1,1,95,-37.7108,145.3549,0,"UTM:(55H 035 582 10000)",""
"UTM:(55H 035 584 10000)",4.3,1,108,-37.5306,145.3589,0,"UTM:(55H 035 584 10000)",""
"UTM:(55H 035 597 10000)",3.1,1,221,-36.3592,145.3838,0,"UTM:(55H 035 597 10000)",""
"UTM:(55H 036 578 10000)",3.0,5,67,-38.0727,145.4608,0,"UTM:(55H 036 578 10000)",""
"UTM:(55H 036 579 10000)",3.4,1,71,-37.9826,145.4627,0,"UTM:(55H 036 579 10000)",""
"UTM:(55H 036 580 10000)",2.7,1,75,-37.8925,145.4646,0,"UTM:(55H 036 580 10000)",""
"UTM:(55H 036 583 10000)",4.0,367,94,-37.6222,145.4702,0,"UTM:(55H 036 583 10000)",""
"UTM:(55H 037 572 10000)",4.1,182,69,-38.6147,145.5642,0,"UTM:(55H 037 572 10000)",""
"UTM:(55H 037 581 10000)",3.3,2,73,-37.8038,145.5800,0,"UTM:(55H 037 581 10000)",""
"UTM:(55H 038 572 10000)",3.4,2,61,-38.6161,145.6791,0,"UTM:(55H 038 572 10000)",""
"UTM:(55H 038 578 10000)",3.8,1,49,-38.0755,145.6888,0,"UTM:(55H 038 578 10000)",""
"UTM:(55H 038 579 10000)",3.1,1,53,-37.9853,145.6904,0,"UTM:(55H 038 579 10000)",""
"UTM:(55H 038 582 10000)",4.3,3,73,-37.7151,145.6952,0,"UTM:(55H 038 582 10000)",""
"UTM:(55H 038 592 10000)",3.1,1,164,-36.8139,145.7107,0,"UTM:(55H 038 592 10000)",""
"UTM:(55H 040 577 10000)",4.7,227,27,-38.1679,145.9154,0,"UTM:(55H 040 577 10000)",""
"UTM:(55H 040 595 10000)",3.7,133,190,-36.5457,145.9386,0,"UTM:(55H 040 595 10000)",""
"UTM:(55H 041 571 10000)",3.8,1,54,-38.7096,146.0224,0,"UTM:(55H 041 571 10000)",""
"UTM:(55H 041 572 10000)",3.1,1,45,-38.6195,146.0236,0,"UTM:(55H 041 572 10000)",""
"UTM:(55H 041 593 10000)",3.1,1,169,-36.7269,146.0480,0,"UTM:(55H 041 593 10000)",""
"UTM:(55H 042 571 10000)",4.2,1,52,-38.7104,146.1373,0,"UTM:(55H 042 571 10000)",""
"UTM:(55H 042 576 10000)",3.6,186,11,-38.2599,146.1427,0,"UTM:(55H 042 576 10000)",""
"UTM:(55H 043 577 10000)",5.9,131,14,-38.1706,146.2579,0,"UTM:(55H 043 577 10000)",""
