ORIGIN_TIME,LON,LAT,DEPTH,MW,N_RECS
1995-09-18T06:56,128.968,-6.925,181,6.0,1
1995-12-05T06:32,124.670,-9.027,33,6.4,1
1995-12-25T04:43,129.151,-6.903,142,7.1,2
1997-07-31T21:54,130.917,-6.637,59,6.0,1
1997-09-26T15:48,128.994,-5.385,254,6.0,1
1997-11-03T19:17,129.021,-6.736,216,6.1,1
2000-03-03T22:09,128.491,-7.321,142,6.4,2
2001-04-04T07:44,132.369,-5.176,33,6.4,1
2001-05-28T08:37,132.346,-6.609,33,6.0,1
2001-07-22T18:15,132.338,-5.147,33,6.0,1
2001-09-18T02:19,127.739,-7.506,132,6.0,1
2001-11-20T21:08,128.921,-6.880,33,6.2,1
2003-03-09T10:36,130.985,-6.820,46,6.0,1
2003-08-28T06:38,126.051,-7.324,409,6.0,1
2004-06-25T02:35,130.375,-6.711,70,6.1,1
2004-11-11T21:26,124.868,-8.152,10,7.5,2
2005-03-02T10:42,129.933,-6.527,202,7.1,2
2005-03-26T15:40,129.938,-4.894,10,6.1,2
2006-01-15T11:58,122.597,-7.826,265,6.1,1
2006-01-27T16:58,128.131,-5.473,397,7.6,2
2006-11-14T14:21,127.998,-6.390,345,6.1,5
2007-08-17T03:04,129.432,-5.261,10,6.4,3
2007-12-15T08:03,127.474,-7.526,176,6.0,4
2007-12-15T09:39,131.090,-6.622,57,6.4,4
2008-01-30T07:32,127.688,-7.302,8,6.2,4
2008-02-13T19:58,128.644,-8.158,19,6.2,4
2008-04-19T03:12,125.694,-7.815,13,6.1,3
2008-04-19T10:21,125.722,-7.875,10,6.0,3
2008-06-06T13:42,127.885,-7.495,122,6.0,4
2008-08-04T20:45,130.195,-5.916,174,6.3,5
2008-11-07T16:04,129.074,-6.712,10,6.2,5
2008-12-06T10:55,124.745,-7.393,398,6.4,4
2009-01-22T20:16,128.568,-7.307,147,6.1,3
2009-08-28T01:51,123.427,-7.146,642,6.9,2
2009-10-24T14:40,130.385,-6.133,130,6.9,7
2009-12-26T08:57,131.205,-5.530,85,6.1,6
2010-01-24T05:38,129.029,-8.205,19,5.5,5
2010-02-15T21:51,128.723,-7.217,126,6.2,5
2010-03-25T15:13,128.460,-7.289,165,5.4,5
2010-03-26T10:39,130.284,-6.326,124,5.7,5
2010-04-02T02:42,127.485,-7.633,177,5.4,5
2010-05-09T02:02,128.936,-8.169,37,5.4,4
2010-06-16T00:04,129.181,-6.460,223,5.3,4
