# smlt_path='b15', gsimlt_path='@_ChiouYoungs2008SWISS01_@', imt='SA', investigation_time=50.0, lon=150.74, lat=-33.9, poe='0.0050000', iml='2.8204314e-01'
mag,poe
4.50000E+00,9.75198E-05
4.70000E+00,2.46056E-04
4.90000E+00,3.14604E-04
5.10000E+00,3.79168E-04
5.30000E+00,4.34661E-04
5.50000E+00,4.81506E-04
5.70000E+00,5.34178E-04
5.90000E+00,5.55483E-04
6.10000E+00,4.16692E-04
6.30000E+00,2.91892E-04
6.50000E+00,2.06730E-04
6.70000E+00,1.48153E-04
6.90000E+00,1.07553E-04
7.10000E+00,7.91240E-05
7.30000E+00,5.90108E-05
7.50000E+00,3.13504E-05
7.70000E+00,6.77004E-06
7.90000E+00,7.83159E-09
8.10000E+00,0.00000E+00
8.30000E+00,0.00000E+00
8.50000E+00,0.00000E+00
8.70000E+00,0.00000E+00
8.90000E+00,0.00000E+00
9.10000E+00,0.00000E+00
9.30000E+00,0.00000E+00
9.50000E+00,0.00000E+00
9.70000E+00,0.00000E+00
