# smlt_path='b15', gsimlt_path='@_ChiouYoungs2008SWISS01_@', imt='SA', investigation_time=50.0, lon=150.74, lat=-33.9, poe='0.0200000', iml='1.3132106e-01'
mag,poe
4.50000E+00,6.35394E-04
4.70000E+00,1.40979E-03
4.90000E+00,1.56249E-03
5.10000E+00,1.67460E-03
5.30000E+00,1.74584E-03
5.50000E+00,1.78692E-03
5.70000E+00,1.84430E-03
5.90000E+00,1.81166E-03
6.10000E+00,1.33095E-03
6.30000E+00,9.17559E-04
6.50000E+00,6.37597E-04
6.70000E+00,4.47140E-04
6.90000E+00,3.17032E-04
7.10000E+00,2.27991E-04
7.30000E+00,1.67210E-04
7.50000E+00,8.74707E-05
7.70000E+00,1.80494E-05
7.90000E+00,1.78014E-07
8.10000E+00,0.00000E+00
8.30000E+00,0.00000E+00
8.50000E+00,0.00000E+00
8.70000E+00,0.00000E+00
8.90000E+00,0.00000E+00
9.10000E+00,0.00000E+00
9.30000E+00,0.00000E+00
9.50000E+00,0.00000E+00
9.70000E+00,0.00000E+00
