# smlt_path='b15', gsimlt_path='@_ChiouYoungs2008SWISS01_@', imt='SA', investigation_time=50.0, lon=150.74, lat=-33.9, poe='0.1000000', iml='4.4866046e-02'
mag,poe
4.50000E+00,4.56457E-03
4.70000E+00,9.29912E-03
4.90000E+00,9.39264E-03
5.10000E+00,9.30974E-03
5.30000E+00,9.05950E-03
5.50000E+00,8.67871E-03
5.70000E+00,8.29302E-03
5.90000E+00,7.52107E-03
6.10000E+00,5.36524E-03
6.30000E+00,3.63624E-03
6.50000E+00,2.48741E-03
6.70000E+00,1.72502E-03
6.90000E+00,1.22015E-03
7.10000E+00,8.86946E-04
7.30000E+00,6.66836E-04
7.50000E+00,3.53183E-04
7.70000E+00,6.87692E-05
7.90000E+00,2.31632E-06
8.10000E+00,0.00000E+00
8.30000E+00,0.00000E+00
8.50000E+00,0.00000E+00
8.70000E+00,0.00000E+00
8.90000E+00,0.00000E+00
9.10000E+00,0.00000E+00
9.30000E+00,0.00000E+00
9.50000E+00,0.00000E+00
9.70000E+00,0.00000E+00
